"week_number","weekly_total_steps","weekly_total_distance","weekly_veryactive_d","weekly_fairlyactive_d","weekly_lightactive_d","weekly_sedentary_d","weekly_veryactive_m","weekly_fairlyactive_m","weekly_lightactive_m","weekly_sedentary_m","weekly_calories","weekly_active_m","weekly_notactive_m"
15,1496358,1071.7499983236191,289.15999937430036,94.02999998629095,658.990000071004,0.24999999441206458,4227,2206,37748,198314,457799,6433,236062
16,1777299,1284.6900016162547,379.8200008608399,134.53999934345484,758.3800011072308,0.4399999938905247,5237,3379,44518,225771,528826,8616,270289
17,1718339,1232.2299997340888,343.3899989351629,129.08999943733218,758.0999979060143,0.28999999724328507,4819,3099,43879,219678,515650,7918,263557
18,1540966,1109.0199982002378,277.0599998645484,123.8599992543459,678.2500017955899,0.34999999590218084,3902,2872,39279,203844,476192,6774,243123
19,683052,491.49999661184853,129.14000109583137,56.820000171661384,304.6299992892891,0.17999999783933168,1844,1296,16599,86296,197513,3140,102895
