"dow_number","day_of_week","avg_steps","avg_distance","avg_calories"
0,"Sunday",6933.2314049586776860,5.027190073693465,2263.0000000000000000
1,"Monday",7780.8666666666666667,5.552916660221914,2324.2083333333333333
2,"Tuesday",8125.0065789473684211,5.832236808050716,2356.0131578947368421
3,"Wednesday",7559.3733333333333333,5.488333327832321,2302.6200000000000000
4,"Thursday",7405.8367346938775510,5.312244923506564,2199.5714285714285714
5,"Friday",7448.2301587301587302,5.309920621326283,2331.7857142857142857
6,"Saturday",8152.9758064516129032,5.8546774227082015,2354.9677419354838710
