"Id","dow_number","day_of_week","part_of_week","time_of_day","total_calories","total_intensity","total_average_intensity","average_intensity","max_intensity","min_intensity"
1624580081,5,"Friday","Weekday","Afternoon",1103520,89792,1496.5345599999912,0.08472229166666617,0.4,0
1624580081,6,"Saturday","Weekend","Morning",1287440,90528,1508.8000000000675,0.07321428571428899,0.4,0
1624580081,6,"Saturday","Weekend","Night",1471360,153088,2551.4661759998626,0.10833331249999416,0.733333,0
1624580081,6,"Saturday","Weekend","Evening",551760,197984,3299.7338239994065,0.37361116666659944,0.85,0.016667
1624580081,6,"Saturday","Weekend","Afternoon",1103520,211968,3532.800735999706,0.20000004166665003,1.45,0
1644430081,0,"Sunday","Weekend","Afternoon",2019000,299484,4991.397168000409,0.2937498333333574,1.55,0.016667
1644430081,0,"Sunday","Weekend","Evening",1009500,110448,1840.8000000001423,0.2166666666666834,0.45,0
1644430081,0,"Sunday","Weekend","Night",2692000,130980,2183.0018880000584,0.09635425000000258,0.55,0
1644430081,0,"Sunday","Weekend","Morning",2355500,86376,1439.601180000056,0.07261910714285998,0.383333,0
1644430081,1,"Monday","Weekday","Evening",1009500,222312,3705.200472000022,0.4361111666666692,1.916667,0
1644430081,1,"Monday","Weekday","Morning",2355500,176292,2938.200708000015,0.1482143214285722,1,0
1644430081,1,"Monday","Weekday","Afternoon",2019000,226560,3775.999764000045,0.222222208333336,0.8,0
1644430081,1,"Monday","Weekday","Night",2692000,15576,259.6009440000506,0.011458375000002234,0.15,0
1644430081,2,"Tuesday","Weekday","Night",3365000,175584,2926.4011799999175,0.10333337499999709,1.116667,0
1644430081,2,"Tuesday","Weekday","Morning",2944375,139476,2324.6004720005253,0.09380954285716406,0.333333,0
1644430081,2,"Tuesday","Weekday","Afternoon",2523750,281784,4696.399056000666,0.22111106666669803,0.883333,0
1644430081,2,"Tuesday","Weekday","Evening",1261875,643572,10726.20000000204,1.010000000000192,1.5,0.466667
1644430081,3,"Wednesday","Weekday","Morning",2860250,122484,2041.399056000023,0.08480388235294213,0.316667,0
1644430081,3,"Wednesday","Weekday","Afternoon",2019000,150804,2513.3992919998127,0.14791662499998898,0.333333,0
